id,name,department,salary,hire_date
1,Jason Perry,IT,117861,2024-10-24
2,Cassie Berger,Sales,75124,2023-03-04
3,Zachary Mccarty PhD,Marketing,84947,2016-03-18
4,Rachael Roberts,Finance,92139,2021-09-22
5,Ashley Owens,Marketing,71965,2018-01-18
6,Bethany Nelson,Admin,42600,2016-02-27
7,Gregory Burns,Operations,72640,2016-07-18
8,James Reyes,Admin,47429,2023-04-16
9,Connie Lamb,Admin,59992,2016-11-13
10,Tammy Williams,Finance,82359,2021-08-17
11,Cynthia Jones,HR,47623,2021-12-03
12,Crystal Bennett,Marketing,45481,2016-03-13
13,Troy Rodgers,Operations,60464,2016-01-26
14,Kevin Harris,Admin,39520,2018-07-18
15,Matthew Jennings,Sales,44426,2021-06-03
16,Cameron Smith,HR,44383,2023-01-02
17,Hayley White,IT,97839,2017-09-21
18,Patrick Huber,Admin,30201,2016-11-02
19,Jason Tyler,HR,43828,2023-07-06
20,Nicole Tran,Marketing,77023,2021-11-13
21,James Mcguire,Admin,51697,2022-05-17
22,Sara Franklin,Marketing,86301,2020-01-02
23,Danny Johnson,HR,46542,2019-06-29
24,Ashley Howell,Sales,70418,2018-03-01
25,Debra Johnson,HR,66378,2020-12-31
26,Lisa Brown,Sales,51394,2016-06-01
27,Jessica Jones,HR,45501,2016-08-30
28,John Smith,Operations,57721,2018-08-11
29,Jeffrey Stewart,Finance,96474,2020-11-10
30,Anna Harris,IT,89963,2017-06-30
31,Jamie West,Marketing,66310,2017-04-25
32,Andrew Walter,Admin,48894,2022-04-18
33,Stacey Taylor,Sales,60526,2017-02-09
34,Kenneth Austin,Marketing,71865,2020-02-22
35,Denise Thompson,Operations,72962,2024-07-08
36,Jamie Shelton,Sales,46520,2017-04-18
37,Lindsey Anderson,HR,49008,2019-01-23
38,Robert James,Admin,34847,2020-03-26
39,Jeffery Harris,Sales,58148,2021-12-29
40,David Coleman,Sales,41090,2024-10-28
41,Jeffery Gregory,Admin,57582,2024-10-24
42,Judy Gilbert,Finance,88523,2023-05-26
43,Stephanie Peters,Finance,83805,2024-03-20
44,Carolyn Lynch,Sales,73052,2022-12-08
45,Matthew Monroe,IT,74390,2025-04-05
46,Michael Campbell,IT,77561,2021-02-13
47,Janice Allison,Marketing,52616,2025-01-17
48,Curtis Austin,Finance,82016,2023-10-01
49,Andrea Ingram,Marketing,67800,2017-06-20
50,Andrew Williams,Sales,35544,2018-06-26
51,Yvette Roberts,IT,100115,2019-11-13
52,Jennifer Weaver,Admin,45992,2022-04-08
53,Jesus Morgan,IT,110751,2025-06-24
54,Susan Anderson,Marketing,50692,2021-12-28
55,Danielle Thompson,Operations,49212,2025-04-07
56,Deborah Roberts,Finance,57346,2023-04-26
57,David Robinson,Marketing,51088,2024-09-26
58,Marie Thomas,IT,108816,2022-11-12
59,Chelsea Mcdonald,HR,48012,2019-11-02
60,Jessica Pierce,Admin,34476,2017-04-13
61,Jose Cuevas,Admin,30763,2022-05-11
62,Laura Warner,Sales,57183,2019-12-18
63,Christina Collier,IT,91827,2025-07-28
64,Victor Huff,Sales,85232,2024-05-15
65,Ryan Anderson,Admin,34295,2017-03-10
66,Samantha Wilkerson,Admin,55965,2020-12-31
67,Mrs. Mary Hardy,HR,51097,2015-10-31
68,Justin Holden,Sales,52236,2021-04-11
69,Dr. Michelle Hayes,Sales,86300,2023-09-30
70,Laura Miller,Operations,45314,2017-06-08
71,Miguel Schneider,Operations,73449,2023-11-21
72,Hunter Nolan,Operations,67147,2022-01-29
73,Jill Thomas,Finance,81738,2015-11-08
74,Brandy Archer,Operations,51326,2024-09-09
75,Jeffery Williams,Sales,88224,2019-02-19
76,Steven Medina,Admin,43950,2020-02-10
77,Tyrone Woodward PhD,Admin,57936,2024-03-17
78,Brendan Jones,Admin,51964,2025-07-24
79,Mia Turner,HR,49335,2021-01-16
80,Donna Hardy,IT,84862,2017-04-26
81,Patricia Hunt,Admin,55809,2017-08-13
82,Bethany Mitchell,HR,55652,2025-06-11
83,Daniel Smith,IT,79245,2021-09-12
84,Daniel Sanchez,Sales,83228,2023-07-28
85,Sandra Ramos,Operations,72319,2018-11-20
